,model,count
0,HYUNDAI CRETA,504
1,HONDA CITY,379
2,MARUTI BALENO,300
3,FORD ECOSPORT,268
4,HYUNDAI GRAND I10,227
5,MARUTI CIAZ,220
6,HONDA AMAZE,220
7,MARUTI SWIFT,185
8,KIA SELTOS,150
9,MARUTI VITARA,141
10,TATA TIAGO,140
11,HYUNDAI VERNA,117
12,RENAULT KWID,103
13,TATA NEXON,102
14,MARUTI WAGON R,96
15,HYUNDAI ELITE,95
16,MG HECTOR,89
17,HONDA WR-V,78
18,HYUNDAI I20,78
19,MARUTI ERTIGA,77
20,MARUTI CELERIO,76
21,HONDA JAZZ,71
22,HYUNDAI VENUE,70
23,JEEP COMPASS,63
24,RENAULT DUSTER,61
25,MARUTI DZIRE,60
26,MARUTI S,44
27,FORD FIGO,37
28,MAHINDRA KUV100,35
29,MAHINDRA TUV300,34
30,MAHINDRA XUV300,33
31,MARUTI SWIFT DZIRE,33
32,MARUTI VITARA BREZZA,33
33,HYUNDAI XCENT,32
34,MARUTI ALTO,31
35,VOLKSWAGEN POLO,29
36,MARUTI IGNIS,28
37,VOLKSWAGEN VENTO,25
38,TOYOTA COROLLA,25
39,TATA TIGOR,25
40,HYUNDAI SANTRO,24
41,TOYOTA COROLLA ALTIS,23
42,TOYOTA YARIS,23
43,HYUNDAI EON,19
44,TOYOTA ETIOS,19
45,HONDA BR-V,19
46,MARUTI XL6,19
47,VOLKSWAGEN AMEO,18
48,MARUTI WAGON-R,16
49,DATSUN REDI,15
50,NISSAN KICKS,15
51,MAHINDRA MARAZZO,15
52,MARUTI EECO,14
53,MARUTI ALTO K10,13
54,KIA SONET,13
55,SKODA SUPERB,12
56,NISSAN TERRANO,11
57,SKODA RAPID,11
58,FORD ASPIRE,10
59,HONDA AMAZE 2ND GEN,10
60,HONDA BRIO,10
61,RENAULT TRIBER,9
62,MAHINDRA KUV 100,9
63,DATSUN GO,9
64,MARUTI ALTO 800,9
65,MG HECTOR PLUS,9
66,FORD FREESTYLE,8
67,MAHINDRA KUV,8
68,HYUNDAI ELANTRA,7
69,TOYOTA GLANZA,7
70,MARUTI S CROSS,7
71,HYUNDAI I10,6
72,TATA ZEST,6
73,TOYOTA ETIOS LIVA,6
74,SKODA OCTAVIA,5
75,DATSUN REDIGO,5
76,AUDI Q3,4
77,RENAULT LODGY,4
78,SKODA KAROQ,4
79,AUDI A4,4
80,MERCEDES-BENZ C-CLASS,4
81,HONDA MOBILIO,3
82,RENAULT CAPTUR,3
83,TATA ALTROZ,3
84,TOYOTA URBAN,3
85,MARUTI RITZ,3
86,NISSAN MICRA,3
87,NISSAN MICRA ACTIVE,3
88,HONDA CR-V,2
89,HYUNDAI I20 ACTIVE,2
90,MARUTI SWIFT DZIRE TOUR,2
91,CHEVROLET BEAT,2
92,NISSAN SUNNY,2
93,MARUTI CELERIO X,2
94,DATSUN GO PLUS,2
95,FIAT AVVENTURA,1
96,VOLKSWAGEN T-ROC,1
97,MAHINDRA BOLERO,1
98,RENAULT PULSE,1
99,TATA BOLT,1
100,CHEVROLET SAIL,1
101,MAHINDRA NUVOSPORT,1
102,TATA TIAGO NRG,1
103,MARUTI WAGON R STINGRAY,1
104,MAHINDRA KUV 100 NXT,1
105,MARUTI GYPSY,1
106,HYUNDAI XCENT PRIME,1
107,HYUNDAI GRAND I10 NIOS,1
108,MARUTI S-PRESSO,1
109,MAHINDRA TUV 300,1
110,MARUTI BALENO RS,1
