,model,price,price_score,plate,Reg. year,Fuel,KM driven,Transmission,Engine capacity,Ownership,Make year,Insurance type,Source,variant,car_age,reg_age,ngt_life,ngt_critical,frequency,re_register,km_per_year,is_luxury_brand,ownership_strength
4116,HYUNDAI EON,166000.0,FAIR PRICE,CG-04,2015,Petrol,141908,Manual,814.0,2,2015,Unknown,Cars24,ERA +,11,11,4,False,109,True,12900.73,False,0.18181818181818182
4117,TOYOTA COROLLA,579000.0,STEAL DEAL,UP-14,2017,Petrol,118245,Manual,1798.0,1,2017,Unknown,Cars24,ALTIS GL ,9,9,6,False,47,True,13138.33,False,0.1111111111111111
4118,FIAT LINEA,103000.0,FAIR PRICE,UP-16,2012,Petrol,99999,Manual,1368.0,2,2011,3rd Party,Cars24,T JET,15,14,0,True,2,True,6666.6,False,0.13333333333333333
4119,MARUTI WAGON R,103000.0,STEAL DEAL,DL-8C,2011,Petrol,99150,Manual,998.0,2,2011,Unknown,Cars24, VXI,15,15,0,True,595,False,6610.0,False,0.13333333333333333
4120,MAHINDRA XUV300,800000.0,HIGH PRICE,UP-15,2023,Diesel,83376,Manual,1497.0,1,2023,Unknown,Cars24,W6  ,3,3,7,False,90,True,27792.0,False,0.3333333333333333
4121,FORD ECOSPORT,415000.00000000006,STEAL DEAL,UP-15,2016,Petrol,61162,Manual,1499.0,1,2016,Unknown,Cars24,TITANIUM  ,10,10,5,False,314,True,6116.2,False,0.1
4122,FORD ECOSPORT,355000.0,STEAL DEAL,UP-15,2016,Diesel,97223,Manual,1498.0,2,2016,Comprehensive,Cars24,TREND+  ,10,10,0,True,314,True,9722.3,False,0.2
4123,TATA HARRIER,1231000.0,HIGH PRICE,UP-70,2020,Diesel,80216,Manual,1956.0,1,2020,3rd Party,Cars24,XZ PLUS  DUAL TONE,6,6,4,False,117,True,13369.33,False,0.16666666666666666
4124,MARUTI WAGON R,215000.0,STEAL DEAL,HR-72,2016,Petrol,60646,Manual,998.0,1,2016,Unknown,Cars24, LXI,10,10,5,False,595,True,6064.6,False,0.1
4125,MAHINDRA THAR,1354000.0,HIGH PRICE,UP-15,2023,Diesel,21765,Manual,2184.0,1,2023,Unknown,Cars24,LX HARD TOP 4WD,3,3,7,False,174,True,7255.0,False,0.3333333333333333
4126,MG HECTOR,1705000.0,HIGH PRICE,UP-15,2024,Diesel,32062,Manual,1956.0,2,2024,3rd Party,Cars24,PLUS SELECT PRO  7 STR,2,2,8,False,244,True,16031.0,False,1.0
4127,HYUNDAI SANTRO,287000.0,STEAL DEAL,UP-15,2020,Petrol,40177,Manual,1086.0,3,2020,Unknown,Cars24,ERA EXECUTIVE,6,6,9,False,136,True,6696.17,False,0.5
4128,MARUTI SWIFT,139000.0,STEAL DEAL,HR-26,2011,CNG,23151,Manual,1197.0,1,2011,Unknown,Cars24,LXI,15,15,0,True,594,True,1543.4,False,0.06666666666666667
4129,MARUTI CIAZ,369000.0,STEAL DEAL,UP-15,2017,Diesel,125334,Manual,1248.0,1,2017,3rd Party,Cars24,VDI+ SHVS,9,9,1,True,268,True,13926.0,False,0.1111111111111111
4130,JEEP COMPASS,800000.0,STEAL DEAL,UP-15,2019,Diesel,70178,Manual,1956.0,1,2019,Unknown,Cars24,LIMITED PLUS ,7,7,3,True,163,True,10025.43,False,0.14285714285714285
4131,HYUNDAI GRAND I10,509999.99999999994,STEAL DEAL,UP-15,2022,Petrol,27500,Manual,1197.0,1,2022,Unknown,Cars24,NIOS SPORTZ  KAPPA VTVT,4,4,11,False,457,True,6875.0,False,0.25
4132,MARUTI GRAND VITARA,1010000.0,STEAL DEAL,UP-15,2025,Petrol,65,Manual,1462.0,1,2024,3rd Party,Cars24,SIGMA SMART HYBRID,2,1,13,False,120,True,32.5,False,0.5
4133,MARUTI CIAZ,600000.0,STEAL DEAL,UP-32,2021,Petrol,79129,Manual,1462.0,1,2021,Unknown,Cars24,ZETA  SHVS ,5,5,10,False,268,True,15825.8,False,0.2
4134,MAHINDRA SCORPIO-N,1646000.0,STEAL DEAL,UP-15,2022,Diesel,47572,Automatic,2183.0,2,2022,3rd Party,Cars24,Z8 L  2WD 6 STR,4,4,6,False,19,True,11893.0,False,0.5
4135,MARUTI BALENO,405000.0,STEAL DEAL,RJ-38,2017,Petrol,88455,Manual,1197.0,1,2017,Unknown,Cars24,ZETA  ,9,9,6,False,493,True,9828.33,False,0.1111111111111111
4136,TATA TIAGO,385000.0,GREAT PRICE,UP-81,2020,Petrol,65898,Manual,1199.0,3,2020,Unknown,Cars24,XZ PLUS ,6,6,9,False,260,True,10983.0,False,0.5
4137,HYUNDAI VENUE,575000.0,STEAL DEAL,UP-15,2020,Petrol,46372,Manual,1197.0,1,2020,Unknown,Cars24,S ,6,6,9,False,235,True,7728.67,False,0.16666666666666666
4138,HYUNDAI SANTRO,91000.0,FAIR PRICE,UP-15,2012,CNG,144593,Manual,1086.0,1,2012,Unknown,Cars24,XING GLS LPG,14,14,1,True,136,True,10328.07,False,0.07142857142857142
4139,TOYOTA INNOVA,1448000.0,HIGH PRICE,UP-15,2021,Diesel,86534,Manual,2393.0,1,2021,3rd Party,Cars24,CRYSTA  GX 7 STR,5,5,5,False,63,True,17306.8,False,0.2
4140,MG HECTOR,1050000.0,GREAT PRICE,JH-05,2021,Diesel,94434,Manual,1956.0,2,2021,Unknown,Cars24,SHARP  ,5,5,5,False,244,True,18886.8,False,0.4
4141,HYUNDAI VENUE,650000.0,STEAL DEAL,UP-15,2020,Diesel,74993,Manual,1493.0,1,2020,3rd Party,Cars24,SX  CRDI,6,6,4,False,235,True,12498.83,False,0.16666666666666666
4142,TATA ZEST,250000.0,GREAT PRICE,UP-15,2019,Diesel,91219,Manual,1248.0,1,2019,Unknown,Cars24,XE 75PS ,7,7,3,True,16,True,13031.29,False,0.14285714285714285
4143,MAHINDRA SCORPIO-N,2023000.0,HIGH PRICE,UP-13,2024,Diesel,54424,Automatic,2183.0,1,2024,Unknown,Cars24,Z8  2WD 7 STR,2,2,8,False,19,True,27212.0,False,0.5
4144,MARUTI ALTO,136000.0,STEAL DEAL,UP-15,2013,Petrol,31626,Manual,998.0,2,2013,Unknown,Cars24,K10 VXI,13,13,2,True,210,True,2432.77,False,0.15384615384615385
4145,MARUTI VITARA,498000.00000000006,STEAL DEAL,UP-15,2018,Diesel,120342,Manual,1248.0,1,2018,Unknown,Cars24,BREZZA VDI,8,8,2,True,170,True,15042.75,False,0.125
4146,FORD ECOSPORT,290000.0,STEAL DEAL,UP-14,2014,Petrol,63000,Manual,1499.0,2,2014,Unknown,Cars24,TITANIUM  ,12,12,3,True,314,True,5250.0,False,0.16666666666666666
4147,MAHINDRA XUV700,1196000.0,STEAL DEAL,UP-12,2022,Petrol,14200,Manual,1997.0,1,2022,Unknown,Cars24,AX 5 P 5 STR,4,4,11,False,79,True,3550.0,False,0.25
4148,MARUTI WAGON R,206999.99999999997,STEAL DEAL,UP-16,2014,CNG,73965,Manual,998.0,2,2014,3rd Party,Cars24, VXI,12,12,3,True,595,True,6163.75,False,0.16666666666666666
4149,RENAULT KWID,321000.0,STEAL DEAL,UP-16,2021,Petrol,25281,Automatic,999.0,3,2021,Unknown,Cars24,CLIMBER  (O),5,5,10,False,190,True,5056.2,False,0.6
4150,MARUTI WAGON R,338000.0,FAIR PRICE,UP-15,2018,Petrol,44492,Manual,998.0,1,2018,Unknown,Cars24, VXI+,8,8,7,False,595,True,5561.5,False,0.125
4151,HYUNDAI GRAND I10,278000.0,STEAL DEAL,UP-53,2019,Diesel,73446,Manual,1186.0,2,2018,Unknown,Cars24,SPORTZ U2  CRDI,8,7,2,True,457,True,9180.75,False,0.25
4152,MARUTI BALENO,330000.0,STEAL DEAL,UP-15,2016,Diesel,192563,Manual,1248.0,1,2016,Unknown,Cars24,ZETA  ,10,10,0,True,493,True,19256.3,False,0.1
4153,MARUTI ALTO,200000.0,GREAT PRICE,KA-51,2016,Petrol,22384,Manual,796.0,1,2016,3rd Party,Cars24,800 VXI,10,10,5,False,210,True,2238.4,False,0.1
4154,TATA NEXON,400000.0,STEAL DEAL,UP-12,2019,Diesel,129400,Manual,1497.0,1,2019,Unknown,Cars24,XM ,7,7,3,True,367,True,18485.71,False,0.14285714285714285
4155,FORD ECOSPORT,567000.0,FAIR PRICE,UP-14,2019,Diesel,88998,Manual,1498.0,1,2019,Unknown,Cars24,TITANIUM  ,7,7,3,True,314,True,12714.0,False,0.14285714285714285
4156,HYUNDAI EON,121000.0,STEAL DEAL,UP-15,2012,Petrol,47038,Manual,814.0,3,2011,Unknown,Cars24,MAGNA O,15,14,0,True,109,True,3135.87,False,0.2
4157,MARUTI ALTO,159000.0,STEAL DEAL,HR-79,2014,Petrol,71432,Manual,998.0,3,2014,Unknown,Cars24,K10 VXI,12,12,3,True,210,True,5952.67,False,0.25
4158,MARUTI ALTO,227000.0,STEAL DEAL,UP-15,2017,Petrol,16541,Manual,796.0,1,2017,Unknown,Cars24,800 LXI,9,9,6,False,210,True,1837.89,False,0.1111111111111111
4159,DATSUN REDI,200000.0,STEAL DEAL,UP-20,2020,Petrol,23908,Manual,999.0,1,2019,3rd Party,Cars24,GO S ,7,6,8,False,17,True,3415.43,False,0.14285714285714285
4160,HONDA CITY,130000.0,STEAL DEAL,UP-14,2011,Petrol,98996,Manual,1497.0,1,2011,3rd Party,Cars24, S,15,15,0,True,684,True,6599.73,False,0.06666666666666667
4161,NISSAN MAGNITE,579000.0,STEAL DEAL,UP-14,2023,Petrol,46087,Manual,999.0,1,2022,Unknown,Cars24,XV DUAL TONE,4,3,11,False,87,True,11521.75,False,0.25
4162,TATA TIAGO,294000.0,GREAT PRICE,DL-3C,2017,Petrol,102555,Manual,1199.0,1,2017,Unknown,Cars24,XT ,9,9,6,False,260,False,11395.0,False,0.1111111111111111
4163,HONDA AMAZE,290000.0,STEAL DEAL,UP-15,2016,Petrol,110522,Manual,1198.0,1,2016,3rd Party,Cars24, S,10,10,5,False,408,True,11052.2,False,0.1
4164,MARUTI GRAND VITARA,950000.0,STEAL DEAL,DL-9C,2025,Petrol,9002,Manual,1462.0,1,2024,3rd Party,Cars24,SIGMA SMART HYBRID,2,1,13,False,120,False,4501.0,False,0.5
4165,HONDA AMAZE,250000.0,STEAL DEAL,UP-12,2018,Petrol,88502,Manual,1198.0,1,2017,3rd Party,Cars24, S,9,8,6,False,408,True,9833.56,False,0.1111111111111111
4166,MG HECTOR,1300000.0,STEAL DEAL,UP-15,2023,Petrol,20937,Automatic,1451.0,2,2023,3rd Party,Cars24,PLUS SHARP PRO   TURBO CVT 7 STR,3,3,12,False,244,True,6979.0,False,0.6666666666666666
4167,MARUTI ALTO,139000.0,STEAL DEAL,UK-13,2014,Petrol,110614,Manual,796.0,3,2014,Unknown,Cars24,800 LXI,12,12,3,True,210,True,9217.83,False,0.25
4168,MARUTI BALENO,386000.0,STEAL DEAL,DL-2C,2017,Petrol,47502,Manual,1197.0,1,2017,Unknown,Cars24,DELTA  ,9,9,6,False,493,False,5278.0,False,0.1111111111111111
4169,MARUTI EECO,312000.0,STEAL DEAL,UP-12,2019,CNG,157234,Manual,1196.0,2,2019,Unknown,Cars24,7 STR,7,7,8,False,45,True,22462.0,False,0.2857142857142857
4170,FORD ECOSPORT,400000.0,STEAL DEAL,UP-15,2017,Diesel,120500,Manual,1498.0,1,2017,Unknown,Cars24,TITANIUM+  ,9,9,1,True,314,True,13388.89,False,0.1111111111111111
4171,HYUNDAI I10,110000.00000000001,STEAL DEAL,DL-4C,2012,CNG,126961,Manual,1197.0,3,2012,Unknown,Cars24,MAGNA ,14,14,1,True,373,False,9068.64,False,0.21428571428571427
4172,MARUTI RITZ,87000.0,STEAL DEAL,UP-15,2011,Petrol,76163,Manual,1197.0,2,2011,Unknown,Cars24,LXI,15,15,0,True,51,True,5077.53,False,0.13333333333333333
4173,MARUTI WAGON R,210000.0,STEAL DEAL,DL-1C,2017,Petrol,70665,Manual,998.0,1,2016,Unknown,Cars24, LXI,10,9,5,False,595,False,7066.5,False,0.1
4174,HONDA CITY,240000.0,STEAL DEAL,UP-15,2012,Petrol,71260,Manual,1497.0,1,2012,Unknown,Cars24, S,14,14,1,True,684,True,5090.0,False,0.07142857142857142
4175,HYUNDAI GRAND I10,305000.0,STEAL DEAL,UP-15,2017,CNG,68745,Manual,1197.0,2,2017,3rd Party,Cars24,SPORTZ  KAPPA VTVT,9,9,6,False,457,True,7638.33,False,0.2222222222222222
4176,MARUTI ALTO,162000.0,STEAL DEAL,UP-15,2015,CNG,105612,Manual,796.0,2,2015,3rd Party,Cars24,800 LXI,11,11,4,False,210,True,9601.09,False,0.18181818181818182
4177,MARUTI ALTO,90000.0,STEAL DEAL,DL-13,2012,Petrol,116760,Manual,998.0,3,2012,Unknown,Cars24,K10 VXI,14,14,1,True,210,False,8340.0,False,0.21428571428571427
4178,HYUNDAI GRAND I10,315000.0,STEAL DEAL,UP-15,2018,Petrol,42762,Manual,1197.0,3,2017,Unknown,Cars24,SPORTZ  KAPPA VTVT,9,8,6,False,457,True,4751.33,False,0.3333333333333333
4179,TATA PUNCH,483000.0,STEAL DEAL,UP-15,2023,Petrol,17821,Manual,1199.0,1,2023,Unknown,Cars24,PURE,3,3,12,False,119,True,5940.33,False,0.3333333333333333
4180,RENAULT DUSTER,350000.0,STEAL DEAL,UP-24,2017,Diesel,130435,Automatic,1461.0,1,2016,3rd Party,Cars24,110 PS RXZ 4X2 ,10,9,0,True,79,True,13043.5,False,0.1
4181,NISSAN SUNNY,299000.0,GREAT PRICE,UP-15,2018,Diesel,99797,Manual,1461.0,2,2017,Unknown,Cars24,XL ,9,8,1,True,13,True,11088.56,False,0.2222222222222222
4182,MARUTI WAGON R,100000.0,STEAL DEAL,UP-15,2011,Petrol,65000,Manual,998.0,1,2011,Unknown,Cars24, LXI LPG,15,15,0,True,595,True,4333.33,False,0.06666666666666667
4183,TOYOTA GLANZA,680000.0,FAIR PRICE,UP-15,2023,Petrol,61289,Automatic,1197.0,2,2023,Unknown,Cars24,V,3,3,12,False,56,True,20429.67,False,0.6666666666666666
4184,VOLKSWAGEN VENTO,340000.0,STEAL DEAL,DL-10,2017,Petrol,154571,Manual,1598.0,2,2016,Unknown,Cars24,HIGHLINE  MPI,10,9,5,False,62,False,15457.1,False,0.2
4185,TATA TIGOR,244000.0,STEAL DEAL,DL-3C,2017,CNG,105934,Manual,1199.0,2,2017,Unknown,Cars24,XT ,9,9,6,False,74,False,11770.44,False,0.2222222222222222
4186,NISSAN MAGNITE,480000.0,STEAL DEAL,MP-07,2021,Petrol,52913,Manual,999.0,1,2021,Unknown,Cars24,XV,5,5,10,False,87,True,10582.6,False,0.2
4187,HYUNDAI VERNA,359000.0,STEAL DEAL,CH-01,2015,Diesel,165877,Manual,1582.0,3,2015,Unknown,Cars24,FLUIDIC  CRDI S(O) 4S,11,11,-1,True,220,True,15079.73,False,0.2727272727272727
4188,TATA SAFARI,131000.0,STEAL DEAL,UP-15,2012,Diesel,123510,Manual,2179.0,2,2012,Unknown,Cars24,4X2 LX DICOR,14,14,-4,True,46,True,8822.14,False,0.14285714285714285
4189,MARUTI S,374000.0,GREAT PRICE,UP-15,2020,Petrol,66250,Automatic,998.0,1,2020,3rd Party,Cars24,PRESSO VXI PLUS,6,6,9,False,83,True,11041.67,False,0.16666666666666666
4190,HYUNDAI I20,400000.0,FAIR PRICE,AR-10,2017,Diesel,107527,Manual,1396.0,1,2017,Unknown,Cars24,ACTIVE  SX,9,9,1,True,314,True,11947.44,False,0.1111111111111111
4191,MARUTI WAGON R,100000.0,STEAL DEAL,DL-3C,2012,CNG,133223,Manual,998.0,2,2012,Unknown,Cars24, LXI ,14,14,1,True,595,False,9515.93,False,0.14285714285714285
4192,MAHINDRA XUV300,444000.00000000006,STEAL DEAL,UP-15,2020,Petrol,105064,Manual,1197.0,1,2020,Unknown,Cars24,W6  ,6,6,9,False,90,True,17510.67,False,0.16666666666666666
4193,MARUTI VITARA,392000.0,STEAL DEAL,UP-15,2016,Diesel,201038,Manual,1248.0,1,2016,3rd Party,Cars24,BREZZA LDI (O),10,10,0,True,170,True,20103.8,False,0.1
4194,KIA SELTOS,1102000.0,HIGH PRICE,UK-07,2025,Petrol,5704,Manual,1497.0,1,2024,3rd Party,Cars24,HTE  ,2,1,13,False,444,True,2852.0,False,0.5
4195,RENAULT LODGY,349000.0,STEAL DEAL,UP-15,2016,Diesel,67382,Manual,1461.0,1,2015,3rd Party,Cars24,110 PS RXZ STEPWAY 7 STR,11,10,-1,True,4,True,6125.64,False,0.09090909090909091
4196,HONDA AMAZE,267000.0,GREAT PRICE,DL-4C,2014,Petrol,88980,Manual,1198.0,1,2014,Unknown,Cars24, S,12,12,3,True,408,False,7415.0,False,0.08333333333333333
4197,MARUTI VITARA,304000.0,STEAL DEAL,UP-15,2016,Diesel,98735,Manual,1248.0,1,2016,Unknown,Cars24,BREZZA LDI (O),10,10,0,True,170,True,9873.5,False,0.1
4198,FORD ECOSPORT,200000.0,STEAL DEAL,UP-14,2013,Diesel,100595,Manual,1498.0,2,2013,Unknown,Cars24,TREND  ,13,13,-3,True,314,True,7738.08,False,0.15384615384615385
4199,HYUNDAI ELITE,433000.0,STEAL DEAL,UP-14,2018,Diesel,106316,Manual,1396.0,1,2018,Unknown,Cars24,I20 ASTA  CRDI (O),8,8,2,True,143,True,13289.5,False,0.125
4200,MAHINDRA BOLERO,500000.0,STEAL DEAL,UP-32,2020,Diesel,96981,Manual,1493.0,2,2020,Unknown,Cars24,B6 (O),6,6,4,False,25,True,16163.5,False,0.3333333333333333
4201,NISSAN MICRA,125000.0,STEAL DEAL,UP-16,2012,Petrol,71662,Manual,1198.0,3,2012,3rd Party,Cars24,XV ,14,14,1,True,17,True,5118.71,False,0.21428571428571427
4202,MARUTI WAGON R,202000.0,STEAL DEAL,UP-15,2014,CNG,158078,Manual,998.0,1,2014,Unknown,Cars24, VXI,12,12,3,True,595,True,13173.17,False,0.08333333333333333
4203,MARUTI WAGON R,154000.0,STEAL DEAL,UP-11,2013,Petrol,113287,Manual,998.0,2,2013,Unknown,Cars24, LXI,13,13,2,True,595,True,8714.38,False,0.15384615384615385
4204,HYUNDAI ELANTRA,520000.0,STEAL DEAL,UP-15,2017,Petrol,117546,Automatic,1999.0,2,2017,Unknown,Cars24, SX(O) ,9,9,6,False,16,True,13060.67,False,0.2222222222222222
4205,MG HECTOR,1450000.0,GREAT PRICE,AP-39,2023,Petrol,21757,Manual,1451.0,2,2023,Unknown,Cars24,PLUS SHARP PRO  TURBO 7 STR,3,3,12,False,244,True,7252.33,False,0.6666666666666666
4206,MARUTI SWIFT,409999.99999999994,GREAT PRICE,UP-15,2017,Diesel,99646,Automatic,1248.0,1,2017,3rd Party,Cars24,DZIRE ZDI,9,9,1,True,594,True,11071.78,False,0.1111111111111111
4207,MARUTI XL6,764000.0,STEAL DEAL,UP-15,2021,Petrol,45053,Manual,1462.0,1,2021,Unknown,Cars24,ZETA,5,5,10,False,98,True,9010.6,False,0.2
4208,HYUNDAI GRAND I10,243000.00000000003,GREAT PRICE,UP-14,2014,Petrol,106157,Manual,1197.0,2,2013,Unknown,Cars24,ASTA (O)  KAPPA VTVT,13,12,2,True,457,True,8165.92,False,0.15384615384615385
4209,TATA PUNCH,484999.99999999994,STEAL DEAL,UP-15,2023,Petrol,73671,Manual,1199.0,1,2022,3rd Party,Cars24,ADVENTURE,4,3,11,False,119,True,18417.75,False,0.25
4210,RENAULT DUSTER,244000.0,STEAL DEAL,UP-15,2016,Diesel,140428,Manual,1461.0,1,2016,Unknown,Cars24,85 PS RXL ,10,10,0,True,79,True,14042.8,False,0.1
4211,NISSAN TERRANO,215000.0,STEAL DEAL,UP-15,2014,Diesel,87707,Manual,1461.0,1,2014,Unknown,Cars24,XL D PLUS,12,12,-2,True,16,True,7308.92,False,0.08333333333333333
4212,MARUTI ALTO,120000.0,STEAL DEAL,HR-26,2013,Petrol,107639,Manual,796.0,4,2013,3rd Party,Cars24,800 LXI,13,13,2,True,210,True,8279.92,False,0.3076923076923077
4213,MARUTI EECO,242000.0,STEAL DEAL,HR-13,2017,CNG,107171,Manual,1196.0,3,2017,3rd Party,Cars24,5 STR WITH A/C+HTR,9,9,6,False,45,True,11907.89,False,0.3333333333333333
4214,MARUTI BALENO,300000.0,STEAL DEAL,HR-06,2017,Petrol,141578,Manual,1197.0,1,2017,Unknown,Cars24,DELTA  ,9,9,6,False,493,True,15730.89,False,0.1111111111111111
4215,HYUNDAI I10,115999.99999999999,STEAL DEAL,HR-13,2013,CNG,106147,Manual,1197.0,3,2012,Unknown,Cars24,MAGNA ,14,13,1,True,373,True,7581.93,False,0.21428571428571427
4216,MAHINDRA KUV100,224000.00000000003,HIGH PRICE,HR-06,2017,Diesel,113007,Manual,1198.0,2,2017,Unknown,Cars24,K4 D 5 STR,9,9,1,True,35,True,12556.33,False,0.2222222222222222
4217,HYUNDAI EON,78000.0,STEAL DEAL,DL-4C,2012,CNG,105612,Manual,814.0,2,2012,Unknown,Cars24,D-LITE+,14,14,1,True,109,False,7543.71,False,0.14285714285714285
4218,MAHINDRA XUV500,1156000.0,HIGH PRICE,HR-60,2020,Diesel,132854,Automatic,2179.0,1,2020,3rd Party,Cars24,W9,6,6,4,False,144,True,22142.33,False,0.16666666666666666
4219,MARUTI SWIFT,278000.0,STEAL DEAL,HR-60,2016,CNG,132884,Manual,1197.0,4,2016,Unknown,Cars24,DZIRE VXI,10,10,5,False,594,True,13288.4,False,0.4
4220,MARUTI CIAZ,347000.0,STEAL DEAL,HR-06,2016,Diesel,114180,Manual,1248.0,2,2016,Unknown,Cars24,ZDI+ SHVS,10,10,0,True,268,True,11418.0,False,0.2
4221,TOYOTA URBAN,620000.0,STEAL DEAL,HR-06,2021,Petrol,94787,Automatic,1462.0,1,2020,3rd Party,Cars24,CRUISER HIGH GRADE,6,5,9,False,27,True,15797.83,False,0.16666666666666666
4222,KIA CARENS,821000.0000000001,STEAL DEAL,HR-06,2023,Petrol,73660,Manual,1497.0,1,2023,Unknown,Cars24,PREMIUM   7 STR,3,3,12,False,90,True,24553.33,False,0.3333333333333333
4223,TOYOTA ETIOS,146000.0,STEAL DEAL,HR-06,2011,Petrol,85528,Manual,1496.0,1,2011,Unknown,Cars24,G,15,15,0,True,144,True,5701.87,False,0.06666666666666667
4224,MARUTI SWIFT,374000.0,FAIR PRICE,HR-06,2017,Petrol,90155,Manual,1197.0,1,2017,3rd Party,Cars24,LXI (O),9,9,6,False,594,True,10017.22,False,0.1111111111111111
4225,MAHINDRA XUV700,1900000.0,GREAT PRICE,HR-06,2024,Diesel,16335,Manual,2184.0,1,2024,3rd Party,Cars24,AX 7 LUXURY D 7 STR,2,2,8,False,79,True,8167.5,False,0.5
4226,DATSUN REDI,136000.0,STEAL DEAL,HR-91,2018,Petrol,65703,Manual,799.0,2,2018,Unknown,Cars24,GO T,8,8,7,False,17,True,8212.88,False,0.25
4227,VOLKSWAGEN VENTO,146000.0,STEAL DEAL,UK-07,2013,Diesel,170093,Manual,1598.0,4,2013,Unknown,Cars24,COMFORTLINE  ,13,13,-3,True,62,True,13084.08,False,0.3076923076923077
4228,HONDA AMAZE,656000.0,HIGH PRICE,HR-06,2021,Diesel,42423,Manual,1498.0,1,2021,3rd Party,Cars24, I-DTEC S,5,5,5,False,408,True,8484.6,False,0.2
4229,KIA SONET,893000.0,FAIR PRICE,HR-06,2024,Petrol,21659,Manual,998.0,1,2024,3rd Party,Cars24,HTK PLUS  TURBO  IMT,2,2,13,False,223,True,10829.5,False,0.5
4230,MARUTI BALENO,613000.0,STEAL DEAL,UP-19,2023,Petrol,52990,Manual,1197.0,1,2023,Unknown,Cars24,ALPHA  ,3,3,12,False,493,True,17663.33,False,0.3333333333333333
4231,MARUTI SWIFT,296000.0,FAIR PRICE,HR-60,2016,Diesel,181158,Manual,1248.0,1,2015,3rd Party,Cars24,DZIRE LDI,11,10,-1,True,594,True,16468.91,False,0.09090909090909091
4232,TATA TIAGO,513999.99999999994,FAIR PRICE,HR-06,2025,Petrol,5582,Manual,1199.0,1,2025,Unknown,Cars24,XM ,1,1,14,False,260,True,5582.0,False,1.0
4233,SKODA KUSHAQ,986999.9999999999,STEAL DEAL,HR-06,2021,Petrol,39091,Manual,1498.0,1,2021,Unknown,Cars24,STYLE  TSI,5,5,10,False,45,True,7818.2,False,0.2
4234,KIA SELTOS,1166000.0,FAIR PRICE,HR-29,2021,Petrol,65001,Automatic,1353.0,2,2021,Unknown,Cars24,GTX PLUS DCT  ,5,5,10,False,444,True,13000.2,False,0.4
4235,KIA SELTOS,1050000.0,FAIR PRICE,HR-06,2020,Diesel,69445,Automatic,1493.0,1,2020,3rd Party,Cars24,GTX PLUS  ,6,6,4,False,444,True,11574.17,False,0.16666666666666666
4236,TATA NEXON,873000.0,HIGH PRICE,HR-06,2024,Petrol,9462,Automatic,1199.0,1,2024,3rd Party,Cars24,SMART PLUS  REVOTRON 6,2,2,13,False,367,True,4731.0,False,0.5
4237,MARUTI CIAZ,422000.0,GREAT PRICE,UP-16,2017,Petrol,150807,Automatic,1373.0,1,2017,3rd Party,Cars24,ALPHA  ,9,9,6,False,268,True,16756.33,False,0.1111111111111111
4238,MARUTI DZIRE,370000.0,STEAL DEAL,HR-06,2018,Diesel,114761,Manual,1248.0,2,2017,Unknown,Cars24,VDI,9,8,1,True,99,True,12751.22,False,0.2222222222222222
4239,MARUTI DZIRE,450000.0,STEAL DEAL,HR-05,2019,Petrol,89534,Manual,1197.0,2,2019,Unknown,Cars24,VXI,7,7,8,False,99,True,12790.57,False,0.2857142857142857
4240,MARUTI SWIFT,188000.0,STEAL DEAL,HR-26,2013,CNG,106472,Manual,1197.0,2,2013,Unknown,Cars24,DZIRE LXI,13,13,2,True,594,True,8190.15,False,0.15384615384615385
4241,MAHINDRA THAR,1222000.0,FAIR PRICE,HR-06,2022,Petrol,56215,Automatic,1997.0,1,2021,3rd Party,Cars24,LX P 4WD CONVERTIBLE,5,4,10,False,174,True,11243.0,False,0.2
4242,MG HECTOR,1157000.0,FAIR PRICE,HR-06,2021,Diesel,81600,Manual,1956.0,1,2021,3rd Party,Cars24,SHARP  ,5,5,5,False,244,True,16320.0,False,0.2
4243,RENAULT TRIBER,348000.0,STEAL DEAL,HR-06,2020,Petrol,46904,Manual,999.0,1,2019,Unknown,Cars24,RXT,7,6,8,False,75,True,6700.57,False,0.14285714285714285
4244,MAHINDRA SCORPIO-N,2141000.0,HIGH PRICE,HR-06,2024,Diesel,113670,Automatic,2183.0,1,2023,Comprehensive,Cars24,Z8 L  4WD 7 STR,3,2,7,False,19,True,37890.0,False,0.3333333333333333
4245,TATA NEXON,700000.0,FAIR PRICE,HR-06,2021,Diesel,76081,Automatic,1497.0,1,2021,Unknown,Cars24,XMA SUNROOF ,5,5,5,False,367,True,15216.2,False,0.2
4246,MARUTI SWIFT,200000.0,STEAL DEAL,DL-13,2013,CNG,218090,Manual,1197.0,3,2013,Unknown,Cars24,DZIRE VXI,13,13,2,True,594,False,16776.15,False,0.23076923076923078
4247,FORD ECOSPORT,213000.0,STEAL DEAL,HR-60,2015,Diesel,137690,Manual,1498.0,4,2015,Unknown,Cars24,AMBIENTE  ,11,11,-1,True,314,True,12517.27,False,0.36363636363636365
4248,TATA TIAGO,371000.0,FAIR PRICE,HR-06,2022,Petrol,32144,Manual,1199.0,1,2022,3rd Party,Cars24,XE ,4,4,11,False,260,True,8036.0,False,0.25
4249,HONDA AMAZE,438999.99999999994,GREAT PRICE,HR-10,2021,Petrol,138000,Manual,1199.0,2,2021,Unknown,Cars24, E,5,5,10,False,408,True,27600.0,False,0.4
