,model,price,price_score,plate,Reg. year,Fuel,KM driven,Transmission,Engine capacity,Ownership,Make year,Insurance type,Source,variant,car_age,reg_age,ngt_life,ngt_critical,frequency,re_register,km_per_year,is_luxury_brand,ownership_strength
240,TATA ALTROZ,433000.0,GREAT PRICE,DL-12,2020,Petrol,10448,Manual,1199.0,1,2020,3rd Party,Cars24,XE ,6,6,9,False,100,False,1741.33,False,0.16666666666666666
241,TOYOTA ETIOS,94000.0,STEAL DEAL,DL-1C,2012,CNG,89817,Manual,1496.0,4,2011,Unknown,Cars24,G,15,14,0,True,144,False,5987.8,False,0.26666666666666666
242,HYUNDAI I10,84000.0,STEAL DEAL,DL-2C,2012,Petrol,86731,Manual,1197.0,3,2012,Unknown,Cars24,MAGNA ,14,14,1,True,373,False,6195.07,False,0.21428571428571427
243,HYUNDAI VERNA,231999.99999999997,STEAL DEAL,DL-3C,2013,CNG,98897,Manual,1591.0,2,2013,Unknown,Cars24,FLUIDIC  VTVT EX,13,13,2,True,220,False,7607.46,False,0.15384615384615385
244,MARUTI WAGON R,250999.99999999997,STEAL DEAL,UP-14,2017,CNG,55692,Manual,998.0,2,2017,3rd Party,Cars24, VXI,9,9,6,False,595,True,6188.0,False,0.2222222222222222
245,HYUNDAI VERNA,86000.0,STEAL DEAL,DL-4C,2011,Petrol,84491,Manual,1599.0,3,2011,Unknown,Cars24,TRANSFORM  VTVT,15,15,0,True,220,False,5632.73,False,0.2
246,TOYOTA ETIOS,142000.0,STEAL DEAL,HR-51,2011,Petrol,121836,Manual,1197.0,1,2011,Unknown,Cars24,LIVA G,15,15,0,True,144,True,8122.4,False,0.06666666666666667
247,TOYOTA ETIOS,103000.0,STEAL DEAL,DL-10,2011,CNG,117064,Manual,1496.0,2,2011,3rd Party,Cars24,G,15,15,0,True,144,False,7804.27,False,0.13333333333333333
248,MARUTI ALTO,87000.0,STEAL DEAL,DL-6C,2011,Petrol,81510,Manual,998.0,2,2011,3rd Party,Cars24,K10 LXI,15,15,0,True,210,False,5434.0,False,0.13333333333333333
249,SKODA OCTAVIA,476000.0,STEAL DEAL,DL-8C,2015,Petrol,121918,Automatic,1798.0,2,2015,Unknown,Cars24,ELEGANCE  TSI,11,11,4,False,25,False,11083.45,False,0.18181818181818182
250,TOYOTA ETIOS,99000.0,STEAL DEAL,DL-4C,2011,CNG,131237,Manual,1496.0,3,2011,Unknown,Cars24,VX,15,15,0,True,144,False,8749.13,False,0.2
251,HYUNDAI AURA,540000.0,STEAL DEAL,DL-5C,2022,CNG,109151,Manual,1197.0,1,2022,3rd Party,Cars24,SX  ,4,4,11,False,60,False,27287.75,False,0.25
252,TATA TIAGO,200000.0,GREAT PRICE,DL-5C,2019,Diesel,194984,Manual,1047.0,1,2019,Unknown,Cars24,XT ,7,7,3,True,260,False,27854.86,False,0.14285714285714285
253,KIA SELTOS,897000.0000000001,HIGH PRICE,UP-16,2019,Diesel,51699,Automatic,1493.5714285714287,2,2019,Unknown,Cars24,HTK PLUS  ,7,7,3,True,444,True,7385.57,False,0.2857142857142857
254,HONDA AMAZE,215000.0,STEAL DEAL,DL-3C,2015,Petrol,72544,Manual,1198.0,2,2015,Unknown,Cars24, S,11,11,4,False,408,False,6594.91,False,0.18181818181818182
255,HONDA CITY,215000.0,STEAL DEAL,DL-3C,2012,Petrol,100000,Manual,1497.0,1,2012,Unknown,Cars24, S,14,14,1,True,684,False,7142.86,False,0.07142857142857142
256,HYUNDAI ELITE,374000.0,GREAT PRICE,DL-10,2015,Petrol,76837,Manual,1197.0,1,2015,Comprehensive,Cars24,I20 SPORTZ ,11,11,4,False,143,False,6985.18,False,0.09090909090909091
